feature,importance_gain,importance_normalized
POS_CNT_INSTALMENT_FUTURE_SUM,82.60610961914062,0.0017653701650067574
ORGANIZATION_TYPE_Transport_type_3,82.52056884765625,0.0017635420783607887
CC_AMT_RECEIVABLE_PRINCIPAL_SUM,82.3314437866211,0.0017595002981371964
YEARS_BEGINEXPLUATATION_AVG,82.287353515625,0.0017585580476263997
PREV_NAME_CONTRACT_TYPE_CONSUMER_LOANS_MEAN,82.20857238769531,0.0017568744209133893
REGION_POPULATION_RELATIVE,82.13937377929688,0.0017553955816448433
PREV_DAYS_DECISION_MAX,82.01881408691406,0.00175281910776154
BURO_BB_STATUS_1_MEAN_MEAN,81.77455139160156,0.0017475989844956345
BURO_DAYS_CREDIT_MIN,81.56754302978516,0.0017431750213342833
BURO_DAYS_CREDIT_ENDDATE_MEAN,81.56533813476562,0.001743127900656377
REGION_RATING_CLIENT,81.43317413330078,0.0017403034317865845
FLAG_DOCUMENT_16,81.2309341430664,0.0017359813732054803
FLAG_PHONE,81.15415954589844,0.001734340627939838
PREV_NAME_PRODUCT_TYPE_X_SELL_MEAN,80.93921661376953,0.0017297470955569558
DAYS_REGISTRATION,80.5177230834961,0.0017207393828524262
ORGANIZATION_TYPE_Realtor,80.24037170410156,0.0017148121233232698
POS_SK_DPD_MEAN,79.96428680419922,0.0017089119296506273
PREV_NAME_CLIENT_TYPE_NEW_MEAN,79.70719146728516,0.0017034175607783606
INSTAL_AMT_INSTALMENT_MEAN,79.65182495117188,0.0017022343263161956
PREV_CODE_REJECT_REASON_SCO_MEAN,79.40044403076172,0.0016968620798928971
CC_AMT_TOTAL_RECEIVABLE_MAX,79.30108642578125,0.0016947387145352045
BURO_AMT_CREDIT_SUM_LIMIT_SUM,79.20975494384766,0.0016927868749669838
PREV_NAME_GOODS_CATEGORY_SPORT_AND_LEISURE_MEAN,78.7979965209961,0.0016839872106534867
LIVINGAREA_MODE,78.39718627929688,0.0016754215192562368
PREV_NAME_CONTRACT_TYPE_CASH_LOANS_MEAN,78.39257049560547,0.0016753228756225577
OCCUPATION_TYPE_Medicine_staff,78.31058502197266,0.0016735707690316212
CC_AMT_CREDIT_LIMIT_ACTUAL_VAR,78.23979949951172,0.001672058015918769
CC_MONTHS_BALANCE_MIN,78.19300842285156,0.0016710580466537204
PREV_RATE_DOWN_PAYMENT_MAX,77.97425079345703,0.0016663829906066404
LIVINGAREA_AVG,77.8595962524414,0.0016639327153555152
BURO_BB_MONTHS_BALANCE_MIN_MEAN,77.6788558959961,0.0016600701241458293
PREV_NAME_CONTRACT_STATUS_CANCELED_MEAN,77.4355697631836,0.0016548708709379582
PREV_NAME_PORTFOLIO_XNA_MEAN,77.35081481933594,0.0016530595781668142
YEARS_BUILD_MODE,77.0447998046875,0.0016465197498248766
APPROVED_AMT_CREDIT_MAX,77.03291320800781,0.0016462657220872368
AMT_REQ_CREDIT_BUREAU_WEEK,77.02496337890625,0.0016460958267710487
PREV_HOUR_APPR_PROCESS_START_MAX,76.65745544433594,0.0016382418369622447
HOUR_APPR_PROCESS_START,76.62958526611328,0.0016376462250716165
CC_MONTHS_BALANCE_SUM,76.5890121459961,0.0016367791393792099
PREV_AMT_ANNUITY_MAX,76.56634521484375,0.0016362947257665475
PREV_NAME_TYPE_SUITE_SPOUSE_PARTNER_MEAN,76.27985382080078,0.0016301721355379735
PREV_NAME_TYPE_SUITE_FAMILY_MEAN,76.14149475097656,0.0016272152722375238
LIVINGAPARTMENTS_AVG,76.0604019165039,0.0016254822421840095
CC_MONTHS_BALANCE_MEAN,75.955078125,0.0016232313738155117
PREV_RATE_DOWN_PAYMENT_MIN,75.75346374511719,0.0016189226851153363
CC_AMT_PAYMENT_TOTAL_CURRENT_VAR,75.57559204101562,0.001615121399701127
PREV_NAME_CONTRACT_STATUS_UNUSED_OFFER_MEAN,75.55327606201172,0.0016146444862655705
APPROVED_AMT_APPLICATION_MAX,75.4465560913086,0.0016123637802359764
BURO_BB_STATUS_0_MEAN_MEAN,75.37442779541016,0.0016108223307933268
PREV_NAME_CONTRACT_TYPE_REVOLVING_LOANS_MEAN,75.2667236328125,0.0016085205916583697
APARTMENTS_AVG,75.17133331298828,0.0016064820109114425
CC_MONTHS_BALANCE_VAR,74.9715347290039,0.001602212127475425
OBS_30_CNT_SOCIAL_CIRCLE,74.8580551147461,0.0015997869615128725
PREV_NAME_PAYMENT_TYPE_XNA_MEAN,74.81460571289062,0.001598858406977661
COMMONAREA_MEDI,74.77818298339844,0.0015980800190319017
CC_AMT_RECIVABLE_VAR,74.2989730834961,0.0015878388532880611
PREV_NAME_CLIENT_TYPE_REFRESHED_MEAN,74.2789535522461,0.0015874110170983518
PREV_CNT_PAYMENT_SUM,74.26079559326172,0.0015870229644567707
CC_AMT_BALANCE_VAR,73.99412536621094,0.001581323971187368
PREV_WEEKDAY_APPR_PROCESS_START_SATURDAY_MEAN,73.17435455322266,0.0015638046987986158
AMT_REQ_CREDIT_BUREAU_MON,72.94164276123047,0.0015588314291879008
ORGANIZATION_TYPE_Business_Entity_Type_3,72.8298110961914,0.0015564414814482818
AMT_REQ_CREDIT_BUREAU_YEAR,72.68590545654297,0.0015533660827400887
PREV_PRODUCT_COMBINATION_POS_INDUSTRY_WITHOUT_INTEREST_MEAN,72.65982818603516,0.0015528087869716334
PREV_HOUR_APPR_PROCESS_START_MIN,72.58809661865234,0.0015512758159900602
PREV_NAME_PAYMENT_TYPE_CASH_THROUGH_THE_BANK_MEAN,72.56462860107422,0.001550774282407916
AMT_INCOME_TOTAL,72.07113647460938,0.0015402278920653195
INSTAL_DBD_MEAN,71.69436645507812,0.0015321759627998435
PREV_NAME_GOODS_CATEGORY_CONSTRUCTION_MATERIALS_MEAN,71.51571655273438,0.001528358046558138
NONLIVINGAREA_MODE,71.4112548828125,0.0015261256025377488
APPROVED_DAYS_DECISION_MEAN,71.3636245727539,0.0015251076980665767
PREV_PRODUCT_COMBINATION_CASH_MEAN,71.35774230957031,0.0015249819885763839
BASEMENTAREA_AVG,70.85929107666016,0.0015143296174703303
BURO_CREDIT_TYPE_CREDIT_CARD_MEAN,70.70679473876953,0.001511070627470364
PREV_CHANNEL_TYPE_CREDIT_AND_CASH_OFFICES_MEAN,70.69049835205078,0.0015107223583769114
PREV_NAME_TYPE_SUITE_UNACCOMPANIED_MEAN,70.4027099609375,0.0015045720501025105
LIVE_REGION_NOT_WORK_REGION,70.2735595703125,0.001501811984927434
PREV_CHANNEL_TYPE_REGIONAL_LOCAL_MEAN,70.19300079345703,0.0015000903681869073
PREV_NAME_SELLER_INDUSTRY_FURNITURE_MEAN,69.82771301269531,0.0014922838251506664
PREV_RATE_DOWN_PAYMENT_MEAN,69.77853393554688,0.00149123282207183
COMMONAREA_AVG,69.7237548828125,0.0014900621422539514
PREV_NAME_YIELD_GROUP_MIDDLE_MEAN,69.55435180664062,0.0014864418393742609
PREV_AMT_GOODS_PRICE_MAX,69.42710876464844,0.0014837225360312832
INSTAL_DBD_MAX,69.40473175048828,0.0014832443182170997
NAME_HOUSING_TYPE_House_apartment,69.24609375,0.0014798540751177751
NAME_HOUSING_TYPE_Rented_apartment,68.98043823242188,0.001474176767143049
NONLIVINGAPARTMENTS_MEDI,68.67884826660156,0.0014677315062515807
BURO_CREDIT_ACTIVE_SOLD_MEAN,68.2688980102539,0.0014589704841549132
APARTMENTS_MODE,67.63440704345703,0.0014454108161362422
INSTAL_PAYMENT_DIFF_VAR,67.40390014648438,0.0014404846672034335
BURO_BB_MONTHS_BALANCE_MAX_MEAN,66.63373565673828,0.0014240255285439078
PREV_NAME_CASH_LOAN_PURPOSE_XNA_MEAN,66.47649383544922,0.0014206651231056795
POS_NAME_CONTRACT_STATUS_COMPLETED_MEAN,66.47525024414062,0.0014206385463911512
APPROVED_AMT_CREDIT_MEAN,66.06649780273438,0.0014119031227250419
PREV_AMT_CREDIT_MAX,65.98719787597656,0.0014102084087937005
PREV_AMT_APPLICATION_MAX,65.97903442382812,0.0014100339481523175
POS_CNT_INSTALMENT_MEAN,65.93930053710938,0.0014091847976660345
POS_CNT_INSTALMENT_SUM,65.81207275390625,0.0014064658204177136
PREV_AMT_APPLICATION_MEAN,65.51255798339844,0.0014000649083995688
ORGANIZATION_TYPE_Medicine,65.48139953613281,0.0013993990231104022
PREV_NAME_CLIENT_TYPE_REPEATER_MEAN,65.46918487548828,0.0013991379843376413
BURO_BB_STATUS_C_MEAN_MEAN,64.66849517822266,0.0013820264933172058
COMMONAREA_MODE,64.59051513671875,0.001380359986573677
APPROVED_AMT_APPLICATION_MEAN,64.35527801513672,0.001375332748297263
CC_NAME_CONTRACT_STATUS_ACTIVE_MEAN,64.28356170654297,0.0013738001034103468
PREV_CHANNEL_TYPE_STONE_MEAN,64.09513092041016,0.0013697731604936385
OBS_60_CNT_SOCIAL_CIRCLE,63.61772155761719,0.0013595704739192993
BASEMENTAREA_MODE,63.2086181640625,0.0013508275500760836
PREV_PRODUCT_COMBINATION_CASH_STREET_MIDDLE_MEAN,63.153465270996094,0.0013496488809391137
CC_NAME_CONTRACT_STATUS_COMPLETED_MEAN,63.07487487792969,0.001347969330409313
BURO_AMT_ANNUITY_MEAN,62.8548583984375,0.001343267371553048
PREV_PRODUCT_COMBINATION_CASH_X_SELL_MIDDLE_MEAN,62.789642333984375,0.0013418736429899245
PREV_NAME_SELLER_INDUSTRY_CLOTHING_MEAN,62.730796813964844,0.0013406160589460113
PREV_HOUR_APPR_PROCESS_START_MEAN,62.32566452026367,0.0013319580012372254
CC_AMT_PAYMENT_TOTAL_CURRENT_MEAN,62.05145263671875,0.001326097835683704
PREV_AMT_CREDIT_MIN,62.03800964355469,0.0013258105462910712
PREV_NAME_YIELD_GROUP_XNA_MEAN,61.92021942138672,0.0013232932585879754
NONLIVINGAREA_MEDI,61.9092903137207,0.001323059693290049
PREV_NAME_GOODS_CATEGORY_CONSUMER_ELECTRONICS_MEAN,61.896385192871094,0.0013227838987340684
PREV_NAME_GOODS_CATEGORY_COMPUTERS_MEAN,61.795249938964844,0.0013206225433488594
PREV_CHANNEL_TYPE_CONTACT_CENTER_MEAN,61.707366943359375,0.0013187444011730734
INSTAL_PAYMENT_PERC_VAR,61.42332077026367,0.0013126740676132503
CC_AMT_INST_MIN_REGULARITY_SUM,61.360408782958984,0.0013113295793433022
BURO_BB_MONTHS_BALANCE_SIZE_MEAN,60.99951171875,0.0013036168700445527
CC_AMT_PAYMENT_TOTAL_CURRENT_SUM,60.79672622680664,0.0012992831535794684
REFUSED_AMT_APPLICATION_MEAN,60.77348327636719,0.001298786429893512
LIVINGAPARTMENTS_MEDI,60.751495361328125,0.0012983165274930767
POS_NAME_CONTRACT_STATUS_SIGNED_MEAN,60.56639862060547,0.001294360836258877
LANDAREA_MODE,60.543067932128906,0.001293862237528644
PREV_NAME_PORTFOLIO_CASH_MEAN,60.22755813598633,0.0012871194967865184
POS_SK_DPD_MAX,59.8299560546875,0.0012786223667908588
CC_CNT_INSTALMENT_MATURE_CUM_VAR,59.823638916015625,0.0012784873636029475
PREV_PRODUCT_COMBINATION_CARD_X_SELL_MEAN,59.583274841308594,0.001273350557521852
PREV_PRODUCT_COMBINATION_POS_MOBILE_WITH_INTEREST_MEAN,59.4738655090332,0.0012710123773089985
PREV_NAME_TYPE_SUITE_CHILDREN_MEAN,59.437522888183594,0.0012702357013601871
PREV_AMT_CREDIT_MEAN,59.381675720214844,0.001269042194916333
PREV_APP_CREDIT_PERC_VAR,59.30158233642578,0.0012673305240628388
BURO_AMT_ANNUITY_MAX,59.265987396240234,0.0012665698267522103
PREV_NAME_GOODS_CATEGORY_MOBILE_MEAN,59.189613342285156,0.0012649376414713086
CC_AMT_DRAWINGS_CURRENT_MAX,58.9626579284668,0.001260087391069868
OCCUPATION_TYPE_Sales_staff,58.337677001953125,0.0012467309615460415
PREV_WEEKDAY_APPR_PROCESS_START_WEDNESDAY_MEAN,57.731449127197266,0.001233775302355411
PREV_CODE_REJECT_REASON_LIMIT_MEAN,57.37562942504883,0.0012261711010537087
PREV_AMT_GOODS_PRICE_MIN,57.312294006347656,0.0012248175636570347
LANDAREA_MEDI,57.18416213989258,0.001222079265300299
INCOME_PER_PERSON,56.180843353271484,0.0012006374002850114
PREV_NAME_GOODS_CATEGORY_AUDIO_VIDEO_MEAN,55.65431213378906,0.0011893849334867986
PREV_WEEKDAY_APPR_PROCESS_START_MONDAY_MEAN,55.49761962890625,0.001186036267456215
CNT_FAM_MEMBERS,55.2389030456543,0.0011805072510266644
PREV_NAME_CASH_LOAN_PURPOSE_REPAIRS_MEAN,54.464454650878906,0.0011639565612922447
ELEVATORS_AVG,54.12065124511719,0.001156609159532765
CC_AMT_CREDIT_LIMIT_ACTUAL_MAX,54.04732131958008,0.0011550420301358931
ENTRANCES_AVG,53.8243293762207,0.0011502764828215538
PREV_WEEKDAY_APPR_PROCESS_START_FRIDAY_MEAN,53.78413772583008,0.0011494175494955671
PREV_PRODUCT_COMBINATION_CARD_STREET_MEAN,53.61344528198242,0.001145769691617378
BURO_CREDIT_TYPE_CONSUMER_CREDIT_MEAN,53.455108642578125,0.0011423858888875249
CC_CNT_DRAWINGS_CURRENT_SUM,53.2535400390625,0.0011380781784713198
NAME_EDUCATION_TYPE_Incomplete_higher,52.728759765625,0.001126863131034974
NONLIVINGAREA_AVG,52.57398223876953,0.0011235553898838173
REFUSED_AMT_CREDIT_MAX,51.91351318359375,0.0011094405457119602
BURO_DAYS_CREDIT_ENDDATE_MIN,51.684486389160156,0.00110454602796086
OCCUPATION_TYPE_Laborers,50.859336853027344,0.0010869118072055891
CC_SK_DPD_MEAN,49.720062255859375,0.0010625644387982965
YEARS_BUILD_AVG,48.790950775146484,0.0010427084536226462
NONLIVINGAPARTMENTS_AVG,48.625816345214844,0.0010391793757231931
PREV_CHANNEL_TYPE_COUNTRY_WIDE_MEAN,48.61943054199219,0.0010390429051093263
ORGANIZATION_TYPE_Trade_type_2,48.24392318725586,0.0010310179601766996
PREV_WEEKDAY_APPR_PROCESS_START_TUESDAY_MEAN,47.83628845214844,0.0010223064229442
REFUSED_AMT_CREDIT_MEAN,47.545013427734375,0.0010160816020407222
PREV_NAME_SELLER_INDUSTRY_INDUSTRY_MEAN,47.03307342529297,0.0010051409632580658
PREV_WEEKDAY_APPR_PROCESS_START_SUNDAY_MEAN,46.74289321899414,0.0009989395396462128
BURO_CNT_CREDIT_PROLONG_SUM,46.34062194824219,0.0009903426246855754
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,45.7083854675293,0.000976831137152445
PREV_WEEKDAY_APPR_PROCESS_START_THURSDAY_MEAN,45.598724365234375,0.0009744875763777545
REFUSED_APP_CREDIT_PERC_MEAN,44.50361633300781,0.0009510840889545425
YEARS_BUILD_MEDI,44.42681884765625,0.0009494428545469148
ENTRANCES_MODE,44.032997131347656,0.0009410265145024751
BURO_BB_STATUS_X_MEAN_MEAN,43.826011657714844,0.0009366030404831092
CC_SK_DPD_DEF_MEAN,43.15498352050781,0.0009222625388087529
PREV_PRODUCT_COMBINATION_POS_HOUSEHOLD_WITH_INTEREST_MEAN,42.88882827758789,0.0009165745512340168
FLOORSMIN_MEDI,40.75191879272461,0.0008709067880710911
PREV_AMT_DOWN_PAYMENT_MIN,39.594810485839844,0.0008461782965336742
PREV_NAME_SELLER_INDUSTRY_CONSUMER_ELECTRONICS_MEAN,36.60105514526367,0.0007821989324896591
PREV_NAME_SELLER_INDUSTRY_CONSTRUCTION_MEAN,31.786834716796875,0.0006793145193225722
CNT_CHILDREN,31.32710075378418,0.000669489572646293
PREV_PRODUCT_COMBINATION_POS_MOBILE_WITHOUT_INTEREST_MEAN,28.211196899414062,0.0006028997801128363
FLAG_DOCUMENT_8,26.813751220703125,0.0005730350531599731
WEEKDAY_APPR_PROCESS_START_TUESDAY,20.87969970703125,0.0004462187977020091
